Frame,Sub Frame,GM,SL
1,0,-0.00598907,0.00144958
1,1,-0.00614166,0.00160217
1,2,-0.0025177,0.00152588
1,3,0.000190735,0.00259399
1,4,0.000228882,0.00587463
1,5,-0.00171661,0.00785828
1,6,-0.00659943,0.00785828
1,7,-0.00400543,0.00759125
1,8,-0.000495911,0.00675201
1,9,0.00144958,0.00305176
2,0,0.00144958,0.00255585
2,1,0.000686646,0.00225067
2,2,0.00301361,0.00324249
2,3,0.00598907,0.00442505
2,4,0.00595093,0.0043869
2,5,0.00480652,0.0030899
2,6,0.00572205,-0.00110626
2,7,0.00621796,-0.00244141
2,8,0.00347137,-0.000267029
2,9,-0.00118256,0.001297
3,0,-0.00572205,0.00255585
3,1,-0.0043869,0.00171661
3,2,-0.00202179,-0.000610352
3,3,-0.000801086,-0.0019455
3,4,0.000915527,-0.0012207
3,5,0.000839233,0.000495911
3,6,-0.000839233,0.00419617
3,7,7.62939e-05,0.00476837
3,8,0.000457764,0.00389099
3,9,-0.00270844,0.00354767
4,0,-0.00102997,0.00190735
4,1,7.62939e-05,0.00217438
4,2,0.00228882,0.00247955
4,3,0.00183105,0.0030899
4,4,0.00118256,0.00164032
4,5,0.00141144,0.000114441
4,6,0.00286102,-0.000228882
4,7,0.00465393,7.62939e-05
4,8,0.00484467,0.00171661
4,9,0.00118256,0.00225067
5,0,-0.00148773,7.62939e-05
5,1,-0.0012207,-0.00339508
5,2,0.000724792,-0.00244141
5,3,0.00137329,-0.000152588
5,4,0.000495911,0.000915527
5,5,0.00202179,-0.00137329
5,6,0.00137329,-0.00297546
5,7,0.000686646,-0.00427246
5,8,0.00320435,-0.00144958
5,9,0.00434875,-0.000190735
6,0,0.00522614,-0.00114441
6,1,0.00598907,-0.00205994
6,2,0.00671387,0.00106812
6,3,0.00839233,0.00305176
6,4,0.00907898,0.00232697
6,5,0.00862122,0.00156403
6,6,0.00667572,-0.000152588
6,7,0.00530243,-0.00133514
6,8,0.00423431,-0.00400543
6,9,0.00148773,-0.0043869
7,0,-0.0038147,-0.00408173
7,1,-0.00598907,-0.00148773
7,2,-0.00499725,-0.00125885
7,3,-0.0062561,-0.00411987
7,4,-0.00652313,-0.00659943
7,5,-0.00812531,-0.0069809
7,6,-0.00923157,-0.00904083
7,7,-0.00919342,-0.00946045
7,8,-0.00366211,-0.00709534
7,9,-0.00282288,-0.0056839
8,0,-0.00469208,-0.00450134
8,1,-0.00686646,-0.00450134
8,2,-0.00682831,-0.00495911
8,3,-0.00556946,-0.00511169
8,4,-0.00450134,-0.00629425
8,5,-0.00320435,-0.00736237
8,6,-0.00221252,-0.00667572
8,7,-0.00209808,-0.00255585
8,8,-0.00236511,0.00209808
8,9,-0.00297546,0.00415802
9,0,-0.00457764,0.00339508
9,1,-0.00450134,0.00190735
9,2,-0.0030899,0.00164032
9,3,-0.00289917,0.00244141
9,4,-0.00213623,0.00362396
9,5,-0.00255585,0.00705719
9,6,-0.00492096,0.00873566
9,7,-0.000991821,0.00946045
9,8,0.00282288,0.00743866
9,9,0.00579834,0.00637054
10,0,0.00606537,0.00774384
10,1,0.00484467,0.00873566
10,2,0.00484467,0.0094986
10,3,0.00347137,0.00736237
10,4,0.00167847,0.0044632
10,5,0.00343323,0.00389099
10,6,0.00606537,0.00354767
10,7,0.00854492,0.00537872
10,8,0.00804901,0.00602722
10,9,0.00312805,0.00267029
11,0,-0.00160217,0.00087738
11,1,-0.00488281,0.00152588
11,2,-0.00526428,0.00125885
11,3,-0.00411987,0.000419617
11,4,-0.00450134,-0.0019455
11,5,-0.00465393,-0.00549316
11,6,-0.00656128,-0.00621796
11,7,-0.00469208,-0.00289917
11,8,-0.000991821,-0.000953674
11,9,-0.000228882,-0.00156403
12,0,-0.00255585,-0.0019455
12,1,-0.00293732,-0.00118256
12,2,-0.000534058,-0.000305176
12,3,0.00289917,-0.00225067
12,4,0.00579834,-0.00335693
12,5,0.00343323,-0.00335693
12,6,-0.000572205,-0.00366211
12,7,-0.000953674,-0.00465393
12,8,-0.0018692,-0.00457764
12,9,-0.00205994,-0.0043869
13,0,-0.00171661,-0.00419617
13,1,-0.00225067,-0.00232697
13,2,-0.00038147,-0.00232697
13,3,0.00171661,-0.00205994
13,4,0.00537872,-0.001297
13,5,0.00484467,0.000801086
13,6,0.000610352,0.00141144
13,7,-0.00190735,0.000152588
13,8,0.000991821,-0.000724792
13,9,0.00419617,-0.00148773
14,0,0.00175476,-0.00286102
14,1,0.00335693,-0.00347137
14,2,0.00473022,-0.00320435
14,3,0.00663757,-0.00350952
14,4,0.00923157,-0.00362396
14,5,0.0102234,-0.000610352
14,6,0.00907898,0.000228882
14,7,0.00724792,-0.000839233
14,8,0.00598907,-0.00110626
14,9,0.00244141,-0.00133514
15,0,-0.00164032,0.000801086
15,1,-0.00267029,0.00267029
15,2,-0.00118256,0.00160217
15,3,-0.000953674,-0.00133514
15,4,-0.00110626,-0.00354767
15,5,-0.000686646,-0.0038147
15,6,-0.001297,-0.00225067
15,7,-0.00354767,-0.000457764
15,8,-0.00411987,-0.000419617
15,9,-0.00705719,-0.00217438
16,0,-0.0112534,-0.00453949
16,1,-0.0123215,-0.00652313
16,2,-0.0113678,-0.00541687
16,3,-0.00656128,-0.00434875
16,4,-0.0019455,-0.00427246
16,5,-0.000953674,-0.00457764
16,6,-0.00289917,-0.0038147
16,7,-0.00305176,-0.00263214
16,8,-0.00148773,-0.00198364
16,9,-0.000190735,0.000724792
17,0,-0.00263214,0.00221252
17,1,-0.000572205,0.00434875
17,2,0.000534058,0.0044632
17,3,-0.000419617,0.00549316
17,4,0.00274658,0.00766754
17,5,-0.00106812,0.00984192
17,6,0.000114441,0.0115204
17,7,0.00259399,0.011673
17,8,0.00411987,0.0101089
17,9,0.00518799,0.00961304
18,0,0.00389099,0.00858307
18,1,0.00331879,0.00896454
18,2,0.00362396,0.00644684
18,3,0.00385284,0.00339508
18,4,0.00720978,0.00152588
18,5,0.0100327,0.00244141
18,6,0.00823975,0.00293732
18,7,0.00522614,0.00305176
18,8,0.00404358,0.00282288
18,9,-0.000419617,0.00148773
19,0,-3.8147e-05,0.00232697
19,1,-7.62939e-05,0.001297
19,2,-0.000724792,0.000648499
19,3,-0.000762939,-0.000724792
19,4,-0.00175476,-0.00282288
19,5,-0.00312805,-0.00404358
19,6,-0.00629425,-0.00354767
19,7,-0.00682831,-0.00286102
19,8,-0.00350952,-0.00339508
19,9,-0.00171661,-0.00305176
20,0,-0.0037384,-0.00385284
20,1,-0.00640869,-0.00473022
20,2,-0.00694275,-0.00679016
20,3,-0.00526428,-0.00938416
20,4,-0.00225067,-0.00976562
20,5,-0.00171661,-0.00946045
20,6,-0.00125885,-0.00968933
20,7,0.000457764,-0.0101089
20,8,0.000686646,-0.00804901
20,9,-0.00175476,-0.00377655
21,0,-0.00434875,-0.0012207
21,1,-0.00175476,-0.000343323
21,2,-0.000343323,3.8147e-05
21,3,-0.000419617,-0.000267029
21,4,-0.000114441,-0.00213623
21,5,-0.000915527,-0.00087738
21,6,-0.00244141,0.00221252
21,7,-0.000114441,0.0037384
21,8,-3.8147e-05,0.00667572
21,9,0.0019455,0.00602722
22,0,0.00385284,0.00499725
22,1,0.00450134,0.0056839
22,2,0.00511169,0.00537872
22,3,0.00797272,0.00312805
22,4,0.0106049,0.0019455
22,5,0.0104523,0.0018692
22,6,0.0094986,0.000495911
22,7,0.0094223,-0.000915527
22,8,0.00835419,-0.000228882
22,9,0.00488281,0.0038147
23,0,-0.00106812,0.00789642
23,1,-0.00328064,0.0069046
23,2,-0.00396729,0.00637054
23,3,-0.00160217,0.00930786
