Frame,Sub Frame,GM,SL
1,0,-0.0163269,0.0455093
1,1,-0.0161743,0.0374222
1,2,-0.0104523,0.0219727
1,3,-0.00614166,-0.00953674
1,4,-0.00408173,-0.04776
1,5,-0.00293732,-0.0718689
1,6,-0.00400543,-0.0754547
1,7,0.0108719,-0.0754547
1,8,0.028038,-0.0579834
1,9,0.0289154,-0.0398254
2,0,0.0212479,-0.0534058
2,1,0.0189972,-0.0650406
2,2,0.0240326,-0.0588989
2,3,0.0304794,-0.0529099
2,4,0.0338745,-0.0415421
2,5,0.0311279,-0.0342178
2,6,0.0237274,-0.0518036
2,7,0.0177765,-0.0800705
2,8,0.0205231,-0.09655
2,9,0.0136948,-0.0976181
3,0,-0.00297546,-0.0821304
3,1,-0.00709534,-0.0439072
3,2,-0.00156403,-0.0128555
3,3,0.00289917,0.00343323
3,4,0.00175476,0.012207
3,5,-0.00144958,0.0209427
3,6,-0.0117493,0.0370789
3,7,0.00297546,0.0389862
3,8,0.024147,0.0307846
3,9,0.0256348,0.0255585
4,0,0.0162506,0.0285339
4,1,0.00713348,0.0393295
4,2,-0.000953674,0.0481796
4,3,-0.00461578,0.0461197
4,4,-0.00541687,0.0564957
4,5,-0.0056839,0.0831223
4,6,-0.0094986,0.093689
4,7,-0.0130081,0.0776291
4,8,-0.0183487,0.0593948
4,9,-0.0342941,0.0588608
5,0,-0.0461197,0.0576782
5,1,-0.0400543,0.0529861
5,2,-0.029068,0.0408173
5,3,-0.0216675,0.0171661
5,4,-0.0222778,0.000152588
5,5,-0.0250626,0.00324249
5,6,-0.0327682,0.0153732
5,7,-0.0195312,0.00461578
5,8,0.000152588,-0.0497055
5,9,0.00350952,-0.103035
6,0,0.00289917,-0.0916672
6,1,0.00862122,-0.0511551
6,2,0.0150299,-0.0391769
6,3,0.0168991,-0.0452805
6,4,0.022316,-0.0311661
6,5,0.0305939,0.00263214
6,6,0.0358582,0.0241089
6,7,0.041275,0.0225067
6,8,0.0478363,0.00564575
6,9,0.0407028,-0.0225449
7,0,0.0259018,-0.0436783
7,1,0.0188446,-0.0371933
7,2,0.0187302,-0.0289917
7,3,0.0157928,-0.0483322
7,4,0.0120544,-0.0702667
7,5,0.00778198,-0.0630951
7,6,-0.0030899,-0.0254059
7,7,0.00621796,-0.00713348
7,8,0.0310898,-0.0169754
7,9,0.0445557,-0.00595093
8,0,0.0421143,0.0230026
8,1,0.032692,0.0186157
8,2,0.0214767,-0.014267
8,3,0.00934601,-0.0399017
8,4,-0.00236511,-0.042572
8,5,-0.00919342,-0.0303268
8,6,-0.0130844,-0.00583649
8,7,-0.0193024,0.0304794
8,8,-0.0289917,0.0567627
8,9,-0.04879,0.050087
9,0,-0.0702667,0.00862122
9,1,-0.0748444,-0.0270081
9,2,-0.0591278,-0.0442123
9,3,-0.0432205,-0.0364685
9,4,-0.0326157,-0.00526428
9,5,-0.0268173,0.0201797
9,6,-0.0333023,0.0301743
9,7,-0.024147,0.0288773
9,8,0.00144958,0.0211334
9,9,0.0136566,0.0139618
10,0,0.0106812,0.00717163
10,1,0.00812531,0.0056839
10,2,0.00789642,0.0109482
10,3,0.0111389,0.0101471
10,4,0.0163651,0.0109482
10,5,0.0179672,0.0238419
10,6,0.0144958,0.0456619
10,7,0.00366211,0.0679398
10,8,-0.0075531,0.092392
10,9,-0.0272369,0.111122
11,0,-0.0563812,0.0935364
11,1,-0.0698471,0.0852966
11,2,-0.0667572,0.0989914
11,3,-0.0537491,0.0881195
11,4,-0.0434113,0.0481415
11,5,-0.0341415,0.0094223
11,6,-0.0311661,-0.0219345
11,7,-0.0234222,-0.0705338
11,8,0.00297546,-0.107193
11,9,0.0204086,-0.0916672
12,0,0.0178146,-0.0681305
12,1,0.0135803,-0.0740051
12,2,0.0191879,-0.0902176
12,3,0.0256729,-0.11631
12,4,0.0256348,-0.152054
12,5,0.0310898,-0.160561
12,6,0.0442886,-0.11734
12,7,0.0556183,-0.0527191
12,8,0.05867,0.00766754
12,9,0.0527191,0.0477219
13,0,0.0489044,0.0402069
13,1,0.0601959,0.017395
13,2,0.079422,0.0240707
13,3,0.083313,0.0375748
13,4,0.0668335,0.0338364
13,5,0.0389099,0.0219345
13,6,0.0112915,0.0243378
13,7,0.0056839,0.031662
13,8,0.0266266,0.0228119
13,9,0.0332642,0.0170517
14,0,0.0230026,0.0214767
14,1,0.0109863,0.0278473
14,2,7.62939e-05,0.0341797
14,3,-0.0115967,0.034523
14,4,-0.0220108,0.030899
14,5,-0.0337982,0.0323105
14,6,-0.043335,0.0402832
14,7,-0.0480652,0.0456238
14,8,-0.051918,0.0383759
14,9,-0.0633621,0.019722
15,0,-0.0793076,-0.0194168
15,1,-0.0746536,-0.0232697
15,2,-0.0517654,0.00801086
15,3,-0.0344086,-0.00450134
15,4,-0.0278091,-0.0473022
15,5,-0.0267029,-0.0497818
15,6,-0.0295258,-0.00720978
15,7,-0.0271988,0.0387573
15,8,-0.00801086,0.0535583
15,9,-0.00812531,0.0536728
16,0,-0.0226212,0.0414658
16,1,-0.0278854,0.0186157
16,2,-0.0144958,-0.00408173
16,3,0.00370026,-0.0242615
16,4,0.0115585,-0.039444
16,5,0.00617981,-0.0399017
16,6,0.00652313,-0.0308609
16,7,0.0194931,-0.0314331
16,8,0.0371552,-0.0408173
16,9,0.0405884,-0.044136
17,0,0.0171661,-0.0529861
17,1,-0.00453949,-0.0660324
17,2,-0.00465393,-0.0696945
17,3,0.00816345,-0.0753403
17,4,0.0138855,-0.0646591
17,5,0.0136566,-0.0401306
17,6,-0.00148773,-0.03582
17,7,-0.017128,-0.047226
17,8,7.62939e-05,-0.0808716
17,9,0.0189972,-0.127373
18,0,0.0189972,-0.165024
18,1,0.0106049,-0.188942
18,2,0.0088501,-0.219383
18,3,0.00793457,-0.229378
18,4,0.0136566,-0.196075
18,5,0.0303268,-0.126228
18,6,0.0583267,-0.0293732
18,7,0.0869751,0.0787354
18,8,0.102005,0.140533
18,9,0.0881195,0.146141
19,0,0.0490189,0.106392
19,1,0.033493,0.0658798
19,2,0.0497055,0.0640106
19,3,0.066185,0.0785446
19,4,0.0666809,0.0863266
19,5,0.0540924,0.0811005
19,6,0.0369263,0.0730515
19,7,0.0228882,0.0716019
19,8,0.0339127,0.0551987
19,9,0.0350571,0.0481033
20,0,0.0094986,0.0627136
20,1,-0.018959,0.0805283
20,2,-0.0391388,0.0762939
20,3,-0.0519943,0.0514984
20,4,-0.0601959,0.0318527
20,5,-0.0693893,0.0382614
20,6,-0.0791931,0.0576019
20,7,-0.0896072,0.0670242
20,8,-0.102539,0.0643158
20,9,-0.120697,0.0624466
21,0,-0.147209,0.0463486
21,1,-0.159607,0.0354004
21,2,-0.143242,0.0445175
21,3,-0.115738,0.0460815
21,4,-0.0965118,0.0421524
21,5,-0.0776291,0.0481033
21,6,-0.0638199,0.0731659
21,7,-0.0550842,0.124207
21,8,-0.0166321,0.159874
21,9,0.0200272,0.160522
22,0,0.0348663,0.140572
22,1,0.0383759,0.115242
22,2,0.0304031,0.0838852
22,3,0.0191498,0.0291824
22,4,0.0208282,-0.0542068
22,5,0.0344086,-0.151405
22,6,0.0553131,-0.242386
22,7,0.091095,-0.283241
22,8,0.130005,-0.250282
22,9,0.139694,-0.182076
23,0,0.106506,-0.144539
23,1,0.0624466,-0.127335
23,2,0.0367737,-0.0786209
23,3,0.0233078,-0.0309372
23,4,0.00873566,-0.0139618
23,5,-0.00629425,-0.0194931
23,6,-0.0191498,-0.0193405
23,7,-0.0287628,-0.00225067
23,8,-0.0106049,-0.00553131
23,9,0.0188446,-0.0235367
24,0,0.0276947,-0.0318909
24,1,0.0202942,-0.0284958
24,2,0.00995636,-0.0183105
24,3,0.00274658,-0.0185776
24,4,-0.00102997,-0.0311661
24,5,-0.00427246,-0.030632
24,6,-0.00705719,-0.0139618
24,7,-0.0106049,0.00831604
24,8,-0.0146484,0.0343704
24,9,-0.0224304,0.0553513
25,0,-0.0410461,0.0542831
25,1,-0.0564575,0.0428391
25,2,-0.0530624,0.0524902
25,3,-0.0385284,0.0710297
25,4,-0.0295639,0.0737
25,5,-0.0250244,0.0611877
25,6,-0.0212479,0.0477219
25,7,-0.0211334,0.0365448
25,8,0.00431061,0.0124741
25,9,0.0357819,0.000152588
26,0,0.0448608,0.00598907
26,1,0.0400162,0.0100708
26,2,0.0368118,0.00343323
26,3,0.0340652,0.00244141
26,4,0.0335693,0.000457764
26,5,0.0311661,-0.0110626
26,6,0.0251007,-0.0251389
26,7,0.017395,-0.0309753
26,8,0.010643,-0.0315475
26,9,-0.00217438,-0.0344467
27,0,-0.0357437,-0.0441742
27,1,-0.0648499,-0.0429153
27,2,-0.0597382,-0.0204468
27,3,-0.0380707,-0.01194
27,4,-0.0265121,-0.00656128
27,5,-0.0234222,0.0374603
27,6,-0.0204849,0.0903702
27,7,-0.0170898,0.112991
27,8,0.0112152,0.0993347
27,9,0.0514221,0.0743103
28,0,0.0660324,0.0624466
28,1,0.0628281,0.0585938
28,2,0.0635529,0.0351334
28,3,0.0666809,-0.0165939
28,4,0.0713348,-0.0966263
28,5,0.0757599,-0.174446
28,6,0.0763702,-0.200386
28,7,0.0670624,-0.16655
28,8,0.0489807,-0.130463
28,9,0.029335,-0.100288
29,0,-0.000648499,-0.0473404
29,1,-0.0302124,0.00495911
29,2,-0.0377655,0.0421906
29,3,-0.0310516,0.0705719
29,4,-0.0215912,0.0906754
29,5,-0.0108719,0.0865555
29,6,-0.00556946,0.0654984
29,7,-0.00865936,0.0541306
29,8,0.00709534,0.0321579
29,9,0.0378036,-0.00457764
30,0,0.0450134,-0.019989
30,1,0.0278854,-0.0154495
30,2,0.0112152,-0.00514984
30,3,-0.00038147,7.62939e-05
30,4,-0.00953674,-0.0094986
30,5,-0.0153351,-0.019722
30,6,-0.0216293,-0.0161362
30,7,-0.0313568,-0.00366211
30,8,-0.0404739,0.00812531
30,9,-0.047226,0.0157547
31,0,-0.0669479,0.0175095
31,1,-0.0913239,0.00724792
31,2,-0.0971985,0.0194168
31,3,-0.0830078,0.0396347
31,4,-0.0683975,0.0403976
31,5,-0.0592804,0.0291824
31,6,-0.0555801,0.0229645
31,7,-0.0605392,0.0297165
31,8,-0.0461197,0.0231171
31,9,-0.00862122,0.00125885
32,0,0.0104141,-0.010643
32,1,0.00770569,-0.0082016
32,2,0.00148773,0.000114441
32,3,0.00350952,0.00312805
32,4,0.0123215,-0.00621796
32,5,0.018692,-0.0119781
32,6,0.0183868,-0.00598907
32,7,0.011673,0.00724792
32,8,0.00411987,0.018692
32,9,-0.00335693,0.0272369
33,0,-0.0287628,0.0310135
33,1,-0.057106,0.0167847
33,2,-0.0615692,0.0201797
33,3,-0.0460434,0.0323486
33,4,-0.0292206,0.0204086
33,5,-0.0102997,-0.00465393
33,6,0.0119781,-0.0159073
33,7,0.0245285,-0.00736237
33,8,0.0445175,-0.0112534
33,9,0.087204,-0.0449753
34,0,0.121002,-0.0663757
34,1,0.124817,-0.0536728
34,2,0.110664,-0.0246429
34,3,0.0963974,-0.0173569
34,4,0.0821304,-0.0346756
34,5,0.0652313,-0.0500488
34,6,0.0494003,-0.0465012
34,7,0.038147,-0.0336456
34,8,0.0304794,-0.0239944
34,9,0.021286,-0.0176239
35,0,0.000648499,-0.0161362
35,1,-0.0286484,-0.0367355
35,2,-0.0364685,-0.0220871
35,3,-0.0244904,0.0112152
35,4,-0.0127029,0.0206757
35,5,-0.0107193,0.0121307
35,6,-0.015564,0.00396729
35,7,-0.0296783,0.0103378
35,8,-0.0284576,0.0159454
35,9,0.0019455,0.00644684
36,0,0.0207901,0
36,1,0.0168991,0.00198364
36,2,0.00629425,0.00392914
36,3,0.000457764,0.00652313
36,4,-0.000724792,-0.00179291
36,5,-0.00434875,-0.0101852
36,6,-0.00701904,-0.00270844
36,7,-0.0094223,0.0105667
36,8,-0.0115585,0.0196075
36,9,-0.0146103,0.0244141
37,0,-0.025177,0.019722
37,1,-0.0479889,-0.0114822
37,2,-0.0585556,-0.017395
37,3,-0.0489807,0.0140381
37,4,-0.0335312,0.0348282
37,5,-0.0281906,0.0304413
37,6,-0.0240326,0.0258636
37,7,-0.0293732,0.0353241
37,8,-0.0234222,0.0390244
37,9,0.00640869,0.0182343
38,0,0.0224304,0.000305176
38,1,0.0151443,0.00324249
38,2,0.0050354,0.0118256
38,3,0.00236511,0.0142288
38,4,0.0056076,0.00579834
38,5,0.00720978,-0.0102615
38,6,0.00663757,-0.0198364
38,7,0.00732422,-0.0102615
38,8,0.016098,0.00286102
38,9,0.0290298,0.00595093
39,0,0.0252151,0.00530243
39,1,0.00282288,-0.0193405
39,2,-0.00366211,-0.0292206
39,3,0.0134659,-0.0135422
39,4,0.0211334,0.00152588
39,5,0.0082016,0.000724792
39,6,-0.00480652,-0.0112152
39,7,-0.0178146,-0.0139999
39,8,-0.0191498,-0.00751495
39,9,0.0141907,-0.0234604
40,0,0.0432587,-0.042305
40,1,0.0415039,-0.0415421
40,2,0.0293732,-0.0343323
40,3,0.0224686,-0.0316238
40,4,0.0180054,-0.0423813
40,5,0.0104904,-0.0527954
40,6,0.000915527,-0.0484848
40,7,-0.00679016,-0.0386047
40,8,-0.00980377,-0.0287247
40,9,-0.0111771,-0.017128
41,0,-0.0172043,-0.00862122
41,1,-0.0373077,-0.0161362
41,2,-0.0503159,-0.017662
41,3,-0.0445175,0.00278473
41,4,-0.0310135,0.0145721
41,5,-0.0207138,0.0140381
41,6,-0.0149918,0.0175095
41,7,-0.0241089,0.0300217
41,8,-0.0256729,0.0337982
41,9,0.00839233,0.0100708
42,0,0.0363541,-0.0121307
42,1,0.0355148,-0.0133514
42,2,0.0239182,-0.00480652
42,3,0.0174713,0.00297546
42,4,0.015831,-0.000457764
42,5,0.0165939,-0.0154495
42,6,0.0179291,-0.0231171
42,7,0.0141144,-0.0169754
42,8,0.00907898,-0.00427246
42,9,0.00652313,0.0062561
43,0,-0.00572205,0.0105286
43,1,-0.0379944,-0.00518799
43,2,-0.0608063,-0.00297546
43,3,-0.0540543,0.0192642
43,4,-0.0387955,0.0268936
43,5,-0.0294495,0.0226974
43,6,-0.0209045,0.0179291
43,7,-0.0166702,0.0255966
43,8,-0.0195312,0.0421524
43,9,0.00972748,0.0324249
44,0,0.0410843,0.0209427
44,1,0.0355148,0.033226
44,2,0.0160217,0.0467682
44,3,0.00740051,0.0468826
44,4,0.00408173,0.0303268
44,5,0.00572205,0.0101089
44,6,0.0144958,0.00553131
44,7,0.0233841,0.0137329
44,8,0.0313187,0.0215149
44,9,0.0428009,0.0251389
45,0,0.0471497,0.0223923
45,1,0.0337219,0.000343323
45,2,0.0239944,-0.0205612
45,3,0.0315857,-0.00686646
45,4,0.0466919,0.00965118
45,5,0.0430298,0.00926971
45,6,0.0230408,0.000495911
45,7,0.00358582,0.00141144
45,8,-0.00843048,0.0109482
45,9,0.0117111,0.00274658
46,0,0.0295639,-0.00926971
46,1,0.0191116,-0.00801086
46,2,0.00228882,-0.00427246
46,3,-0.00911713,-0.00652313
46,4,-0.0171661,-0.0117874
46,5,-0.0207901,-0.0268173
46,6,-0.0226974,-0.031662
46,7,-0.0237656,-0.0220108
46,8,-0.0234985,-0.0133896
46,9,-0.0312805,-0.0082016
47,0,-0.0496674,0.0109482
47,1,-0.0754547,0.0180054
47,2,-0.0803757,0.00576019
47,3,-0.0547409,0.0204849
47,4,-0.0239182,0.0399017
47,5,-0.00766754,0.0368118
47,6,-0.0062561,0.0228119
47,7,-0.0150681,0.0194168
47,8,-0.0300598,0.0289917
47,9,-0.0075531,0.00930786
48,0,0.0259781,-0.0234985
48,1,0.0317383,-0.0355911
48,2,0.0210571,-0.0335693
48,3,0.0162125,-0.0327682
48,4,0.02285,-0.040741
48,5,0.0339508,-0.0579071
48,6,0.0391006,-0.0603104
48,7,0.0411224,-0.0457001
48,8,0.0395584,-0.0297546
48,9,0.0402069,-0.0246048
49,0,0.0301743,-0.0197601
